"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"Patrick McCaw",NA,NA,NA,NA,NA,NA,NA,NA,-0.24,0.03,-0.15,-0.62,-0.29,-0.23,-0.32,-0.53,-2.34,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,0,-2.422,-2.545,-2.75,-2.576,-2.93,-3.52,-7.46873486717984,-7.23549134547987,-6.91834831940077,-7.88361220472441,-8.18641874015541,-8.58878705207982
"Jodie Meeks",0.407,0.873,1,1.4,1,0.6,0.1,6.2,-0.57,0.56,0.12,-0.73,-0.53,-0.16,-0.69,-0.44,-2.44,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,-2.41,-2.365,-2.29,-2.838,-3.435,-4.43,-7.43173040045558,-6.72374736033788,-5.76109732779191,-8.68543922244094,-9.59738852301496,-10.8091837047482
"C.J. Watson",NA,NA,NA,NA,NA,NA,NA,NA,-0.7,0.43,-0.31,-0.67,-0.01,0.11,-0.76,-0.53,-2.45,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,-2.428,-2.395,-2.34,-2.876,-3.515,-4.58,-7.48723710054198,-6.80903802452821,-5.88688547905374,-8.80173474409449,-9.82090848861647,-11.1751831529902
"Luke Babbitt",NA,NA,NA,NA,NA,NA,NA,NA,-0.62,-0.04,0.67,-0.41,-0.59,-0.59,-0.45,-0.44,-2.48,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,0,-2.472,-2.46,-2.44,-2.776,-3.22,-3.96,-7.62292014519759,-6.99383446360726,-6.13846178157741,-8.49569389763779,-8.99667861546089,-9.6623854335898
"Malcolm Delaney",NA,NA,NA,NA,NA,NA,NA,NA,-1.26,0.22,-0.42,-0.5,0.58,-0.01,-0.79,-0.31,-2.49,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,-2.414,-2.3,-2.11,-3,-3.765,-5.04,-7.444065222697,-6.53895092125882,-5.30825998324932,-9.18122539370079,-10.5194083811212,-12.2975814609325
"Alec Burks",0.396,0.763,0.3,0.7,0.4,0.1,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amar'e Stoudemire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson Varejao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Bogut",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ante Zizic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
