name.y,name.e
C.J. McCollum,CJ McCollum
Otto Porter,Otto Porter Jr.
J.J. Redick,JJ Redick
T.J. Warren,TJ Warren
J.R. Smith,JR Smith
C.J. Miles,CJ Miles
P.J. Tucker,PJ Tucker
Nene Hilario,Nene
